,Time,Torque,Position,Command Position
0,0.0,-0.0,-1.884955644607544,0.0
1,0.004612445831298828,0.0697758942842483,-1.884955644607544,0.0
2,0.004934549331665039,0.06333964690566056,-1.884955644607544,0.0
3,0.009980916976928711,0.05690339952707283,-1.884955644607544,0.0
4,0.014655351638793945,0.0504671521484851,-1.884955644607544,0.0
5,0.015371084213256836,0.061320324738820334,-1.884955644607544,0.0
6,0.02033400535583496,0.07217349732915557,-1.884955644607544,0.0
7,0.024835586547851562,0.0830266699194908,-1.884955644607544,0.0
8,0.025356292724609375,0.0949493845303853,-1.884955644607544,0.0
9,0.030068397521972656,0.10687209914127979,-1.884955644607544,0.0
10,0.03450727462768555,0.1187948137521743,-1.884955644607544,0.0
11,0.03499436378479004,0.11049746473630263,-1.884955644607544,0.0
12,0.039975881576538086,0.10220011572043096,-1.884955644607544,0.0
13,0.044526100158691406,0.0939027667045593,-1.884955644607544,0.0
14,0.044947147369384766,0.08842154592275617,-1.884955644607544,0.0
15,0.05009961128234863,0.08294032514095304,-1.884955644607544,0.0
16,0.05459737777709961,0.0774591043591499,-1.884955644607544,0.0
17,0.05498909950256348,0.07447744905948638,-1.884955644607544,0.0
18,0.060012102127075195,0.07149579375982283,-1.884955644607544,0.0
19,0.06452655792236328,0.0685141384601593,-1.884955644607544,0.0
20,0.06491684913635254,0.06736470013856886,-1.884955644607544,0.0
21,0.06998419761657715,0.06621526181697844,-1.884955644607544,0.0
22,0.07456588745117188,0.065065823495388,-1.884955644607544,0.0
23,0.07504153251647949,0.06297268594304717,-1.884955644607544,0.0
24,0.07992291450500488,0.060879548390706334,-1.884955644607544,0.0
25,0.08459877967834473,0.0587864108383655,-1.884955644607544,0.0
26,0.08491873741149902,0.06063080827395117,-1.884955644607544,0.0
27,0.09000492095947266,0.06247520570953683,-1.884955644607544,0.0
28,0.09455394744873047,0.0643196031451225,-1.884955644607544,0.0
29,0.09604549407958984,0.05609964330991107,-1.884955644607544,0.0
30,0.10001349449157715,0.04787968347469963,-1.884955644607544,0.0
31,0.10457658767700195,0.0396597236394882,-1.884955644607544,0.0
32,0.10501575469970703,0.05091042816638943,-1.884955644607544,0.0
33,0.10993814468383789,0.06216113269329067,-1.884955644607544,0.0
34,0.11456990242004395,0.0734118372201919,-1.884955644607544,0.0
35,0.1150369644165039,0.08687741309404366,-1.884955644607544,0.0
36,0.12005352973937988,0.10034298896789544,-1.884955644607544,0.0
37,0.12468361854553223,0.1138085648417472,-1.884955644607544,0.0
38,0.12508249282836914,0.10681006064017606,-1.884955644607544,0.0
39,0.13014531135559082,0.09981155643860494,-1.884955644607544,0.0
40,0.13461041450500488,0.0928130522370338,-1.884955644607544,0.0
41,0.13491177558898926,0.09238633265097934,-1.884955644607544,0.0
42,0.14003276824951172,0.09195961306492487,-1.884955644607544,0.0
43,0.14458966255187988,0.0915328934788704,-1.884955644607544,0.0
44,0.1450212001800537,0.08743079503377277,-1.884955644607544,0.0
45,0.15004444122314453,0.08332869658867514,-1.884955644607544,0.0
46,0.15453648567199707,0.0792265981435775,-1.884955644607544,0.0
47,0.15497469902038574,0.07741909225781754,-1.884955644607544,0.0
48,0.1601107120513916,0.07561158637205756,-1.884955644607544,0.0
49,0.1645650863647461,0.0738040804862976,-1.884955644607544,0.0
50,0.16494965553283691,0.0947578450043996,-1.884955644607544,0.0
51,0.1700906753540039,0.1157116095225016,-1.884955644607544,0.0
52,0.174574613571167,0.1366653740406036,-1.884955644607544,0.0
53,0.17510390281677246,0.1153288011749585,-1.884955644607544,0.0
54,0.17997384071350098,0.09399222830931339,-1.884955644607544,0.0
55,0.18465495109558105,0.0726556554436683,-1.884955644607544,0.0
56,0.18494462966918945,0.0699294134974479,-1.884955644607544,0.0
57,0.19010043144226074,0.0672031715512275,-1.884955644607544,0.0
58,0.19454050064086914,0.0644769296050071,-1.884955644607544,0.0
59,0.19503068923950195,0.08704953392346694,-1.884955644607544,0.0
60,0.20026516914367676,0.10962213824192676,-1.884955644607544,0.0
61,0.20459771156311035,0.1321947425603866,-1.884955644607544,0.0
62,0.2050156593322754,0.11934417237838103,-1.884955644607544,0.0
63,0.21002888679504395,0.10649360219637546,-1.884955644607544,0.0
64,0.21459150314331055,0.0936430320143699,-1.884955644607544,0.0
65,0.21500802040100098,0.09900743514299386,-1.884955644607544,0.0
66,0.21999359130859375,0.10437183827161783,-1.884955644607544,0.0
67,0.22459888458251953,0.1097362414002418,-1.884955644607544,0.0
68,0.224945068359375,0.09707295894622796,-1.884955644607544,0.0
69,0.22990942001342773,0.08440967649221413,-1.884955644607544,0.0
70,0.23461461067199707,0.0717463940382003,-1.884955644607544,0.0
71,0.23503518104553223,0.07159525404373797,-1.884955644607544,0.0
72,0.239990234375,0.07144411404927563,-1.884955644607544,0.0
73,0.24454259872436523,0.0712929740548133,-1.884955644607544,0.0
74,0.245039701461792,0.0777712389826774,-1.884955644607544,0.0
75,0.2500739097595215,0.08424950391054149,-1.884955644607544,0.0
76,0.2545480728149414,0.0907277688384056,-1.884955644607544,0.0
77,0.25501322746276855,0.08358229448397952,-1.884955644607544,0.0
78,0.2600526809692383,0.07643682012955347,-1.884955644607544,0.0
79,0.2645680904388428,0.0692913457751274,-1.884955644607544,0.0
80,0.26502323150634766,0.07884750515222547,-1.884955644607544,0.0
81,0.2700374126434326,0.08840366452932354,-1.884955644607544,0.0
82,0.27472758293151855,0.0979598239064216,-1.884955644607544,0.0
83,0.27497220039367676,0.09129194170236583,-1.884955644607544,0.0
